Attention,Meditation,Eye Blink,Average,Emotion
98,40,1,46.33333333,Happy
47,87,4,46,Happy
90,13,19,40.66666667,Concentrated
85,100,19,68,Fear
16,7,17,13.33333333,Sad
1,85,17,34.33333333,Concentrated
17,47,5,23,Relaxed
59,38,13,36.66666667,Concentrated
74,46,16,45.33333333,Happy
1,83,20,34.66666667,Concentrated
24,6,3,11,Sad
30,49,13,30.66666667,Concentrated
92,62,1,51.66666667,Happy
68,89,5,54,Happy
58,95,9,54,Happy
45,24,3,24,Relaxed
56,54,3,37.66666667,Concentrated
93,16,10,39.66666667,Concentrated
19,53,19,30.33333333,Concentrated
83,75,8,55.33333333,Happy
4,10,12,8.666666667,Sad
57,24,4,28.33333333,Drunker
56,46,17,39.66666667,Concentrated
32,70,7,36.33333333,Concentrated
71,1,16,29.33333333,Concentrated
41,35,19,31.66666667,Concentrated
92,99,15,68.66666667,Fear
93,82,12,62.33333333,Fear
59,39,19,39,Concentrated
46,86,4,45.33333333,Happy
85,73,21,59.66666667,Fear
92,19,11,40.66666667,Concentrated
42,10,10,20.66666667,Relaxed
27,3,2,10.66666667,Sad
38,70,2,36.66666667,Concentrated
78,91,2,57,Fear
3,87,15,35,Concentrated
8,23,9,13.33333333,Sad
11,88,5,34.66666667,Concentrated
71,29,11,37,Concentrated
61,4,16,27,Relaxed
76,77,13,55.33333333,Happy
54,86,7,49,Happy
13,100,2,38.33333333,Concentrated
45,79,5,43,Happy
62,61,17,46.66666667,Happy
61,61,4,42,Concentrated
75,77,5,52.33333333,Happy
9,84,8,33.66666667,Concentrated
83,87,1,57,Fear
59,45,12,38.66666667,Concentrated
22,100,11,44.33333333,Happy
19,65,16,33.33333333,Concentrated
8,56,9,24.33333333,Relaxed
3,68,7,26,Relaxed
46,32,4,27.33333333,Relaxed
43,11,20,24.66666667,Relaxed
58,13,13,28,Relaxed
16,43,13,24,Relaxed
4,44,20,22.66666667,Relaxed
68,82,9,53,Happy
37,96,8,47,Happy
34,11,20,21.66666667,Relaxed
89,54,2,48.33333333,Happy
25,47,20,30.66666667,Concentrated
98,32,19,49.66666667,Happy
91,60,9,53.33333333,Happy
25,82,14,40.33333333,Concentrated
71,30,11,37.33333333,Concentrated
91,35,11,45.66666667,Happy
6,99,1,35.33333333,Concentrated
51,6,16,24.33333333,Relaxed
30,63,5,32.66666667,Concentrated
89,31,17,45.66666667,Happy
100,31,19,50,Happy
77,4,18,33,Concentrated
5,4,12,7,Sad
9,19,7,11.66666667,Sad
15,55,3,24.33333333,Relaxed
72,1,3,25.33333333,Relaxed
98,76,18,64,Fear
75,39,21,45,Happy
45,33,9,29,Concentrated
30,94,13,45.66666667,Happy
64,6,9,26.33333333,Relaxed
8,7,18,11,Sad
81,29,10,40,Concentrated
7,62,3,24,Relaxed
81,17,17,38.33333333,Concentrated
56,56,18,43.33333333,Happy
92,89,5,62,Fear
26,89,6,40.33333333,Concentrated
86,70,19,58.33333333,Fear
60,6,1,22.33333333,Relaxed
76,51,17,48,Happy
96,65,20,60.33333333,Fear
75,20,12,35.66666667,Concentrated
17,24,13,18,Relaxed
27,19,5,17,Relaxed
35,35,18,29.33333333,Concentrated
44,79,9,44,Happy
23,83,7,37.66666667,Concentrated
87,95,2,61.33333333,Fear
16,77,11,34.66666667,Concentrated
51,90,14,51.66666667,Happy
60,69,3,44,Happy
94,67,21,60.66666667,Fear
31,12,2,15,Relaxed
18,96,11,41.66666667,Concentrated
24,91,18,44.33333333,Happy
44,18,3,21.66666667,Relaxed
45,40,18,34.33333333,Concentrated
45,67,19,43.66666667,Happy
55,33,11,33,Concentrated
34,51,13,32.66666667,Concentrated
54,84,9,49,Happy
30,37,9,25.33333333,Relaxed
25,33,18,25.33333333,Relaxed
74,16,17,35.66666667,Concentrated
3,7,10,6.666666667,Sad
32,43,19,31.33333333,Concentrated
6,36,4,15.33333333,Relaxed
70,40,8,39.33333333,Concentrated
56,69,4,43,Happy
86,45,7,46,Happy
11,36,16,21,Relaxed
44,38,16,32.66666667,Concentrated
33,44,15,30.66666667,Concentrated
39,93,11,47.66666667,Happy
91,34,16,47,Happy
51,91,10,50.66666667,Happy
25,10,12,15.66666667,Relaxed
17,42,19,26,Relaxed
80,86,15,60.33333333,Fear
92,72,1,55,Happy
71,5,5,27,Relaxed
16,22,16,18,Relaxed
63,56,13,44,Happy
49,24,13,28.66666667,Drunker
56,14,12,27.33333333,Relaxed
61,89,3,51,Happy
52,33,8,31,Concentrated
91,97,16,68,Fear
9,92,10,37,Concentrated
89,31,8,42.66666667,Drunker
59,64,1,41.33333333,Concentrated
85,39,7,43.66666667,Happy
57,10,4,23.66666667,Relaxed
81,24,21,42,Concentrated
26,28,21,25,Relaxed
19,34,9,20.66666667,Relaxed
68,91,20,59.66666667,Fear
96,88,21,68.33333333,Fear
37,84,13,44.66666667,Happy
83,1,21,35,Concentrated
15,27,2,14.66666667,Drunker
13,62,5,26.66666667,Relaxed
92,35,17,48,Happy
99,77,5,60.33333333,Fear
74,64,13,50.33333333,Happy
28,36,5,23,Relaxed
63,27,3,31,Concentrated
39,19,8,22,Relaxed
4,57,3,21.33333333,Relaxed
6,100,15,40.33333333,Concentrated
25,64,14,34.33333333,Concentrated
92,14,17,41,Concentrated
84,40,12,45.33333333,Happy
81,89,1,57,Fear
38,51,13,34,Concentrated
40,43,20,34.33333333,Concentrated
1,5,14,6.666666667,Sad
43,64,17,41.33333333,Concentrated
65,74,12,50.33333333,Happy
59,95,5,53,Happy
35,92,11,46,Happy
63,91,2,52,Happy
29,51,1,27,Relaxed
66,8,1,25,Relaxed
66,70,5,47,Happy
13,46,5,21.33333333,Relaxed
46,93,2,47,Happy
6,51,13,23.33333333,Relaxed
93,28,2,41,Concentrated
21,23,6,16.66666667,Relaxed
15,51,5,23.66666667,Relaxed
71,77,1,49.66666667,Happy
88,78,15,60.33333333,Fear
36,2,5,14.33333333,Drunker
47,56,4,35.66666667,Concentrated
70,29,13,37.33333333,Concentrated
33,32,8,24.33333333,Relaxed
37,73,13,41,Concentrated
9,26,1,12,Sad
37,94,17,49.33333333,Happy
86,58,2,48.66666667,Happy
24,84,9,39,Concentrated
49,80,16,48.33333333,Happy
30,9,7,15.33333333,Relaxed
46,59,7,37.33333333,Concentrated
96,25,5,42,Concentrated
20,41,8,23,Relaxed
9,92,12,37.66666667,Concentrated
2,53,3,19.33333333,Relaxed
82,29,10,40.33333333,Concentrated
79,88,14,60.33333333,Fear
64,46,9,39.66666667,Concentrated
61,82,10,51,Happy
10,71,20,33.66666667,Concentrated
91,73,4,56,Happy
100,78,3,60.33333333,Fear
19,70,14,34.33333333,Concentrated
90,55,18,54.33333333,Happy
60,43,1,34.66666667,Concentrated
14,31,10,18.33333333,Relaxed
69,71,13,51,Happy
76,14,4,31.33333333,Concentrated
88,93,12,64.33333333,Fear
78,28,1,35.66666667,Concentrated
45,51,20,38.66666667,Concentrated
97,90,6,64.33333333,Fear
81,7,8,32,Concentrated
92,42,8,47.33333333,Happy
83,27,5,38.33333333,Concentrated
33,88,16,45.66666667,Happy
10,45,13,22.66666667,Relaxed
67,56,9,44,Happy
51,81,14,48.66666667,Happy
14,4,5,7.666666667,Sad
42,9,9,20,Relaxed
97,29,13,46.33333333,Happy
79,89,18,62,Fear
88,19,17,41.33333333,Concentrated
87,47,7,47,Happy
74,87,7,56,Happy
64,43,14,40.33333333,Concentrated
84,71,5,53.33333333,Happy
22,66,16,34.66666667,Concentrated
51,55,4,36.66666667,Concentrated
9,5,18,10.66666667,Sad
61,76,20,52.33333333,Happy
23,62,5,30,Concentrated
45,66,21,44,Happy
77,2,9,29.33333333,Concentrated
67,41,19,42.33333333,Drunker
98,91,2,63.66666667,Fear
84,92,5,60.33333333,Fear
44,61,18,41,Concentrated
96,41,13,50,Happy
92,56,10,52.66666667,Happy
93,27,14,44.66666667,Happy
22,29,13,21.33333333,Relaxed
69,39,20,42.66666667,Drunker
12,66,14,30.66666667,Concentrated
88,11,16,38.33333333,Concentrated
90,80,14,61.33333333,Fear
40,42,15,32.33333333,Concentrated
1,92,15,36,Concentrated
3,16,20,13,Sad
8,14,12,11.33333333,Sad
42,7,20,23,Relaxed
63,59,8,43.33333333,Happy
17,49,3,23,Relaxed
36,29,10,25,Relaxed
44,86,21,50.33333333,Happy
26,27,8,20.33333333,Relaxed
19,48,19,28.66666667,Drunker
60,55,4,39.66666667,Concentrated
15,62,3,26.66666667,Relaxed
54,43,12,36.33333333,Concentrated
27,88,4,39.66666667,Concentrated
26,54,12,30.66666667,Concentrated
52,89,12,51,Happy
50,61,8,39.66666667,Concentrated
74,57,15,48.66666667,Happy
48,94,8,50,Happy
82,21,10,37.66666667,Concentrated
34,87,11,44,Happy
15,66,8,29.66666667,Concentrated
24,81,10,38.33333333,Concentrated
67,86,11,54.66666667,Happy
60,94,17,57,Fear
22,49,9,26.66666667,Relaxed
34,3,13,16.66666667,Relaxed
70,87,8,55,Happy
77,29,12,39.33333333,Concentrated
37,2,9,16,Relaxed
75,27,4,35.33333333,Concentrated
90,34,7,43.66666667,Happy
98,67,7,57.33333333,Fear
28,62,5,31.66666667,Concentrated
75,60,9,48,Happy
85,3,5,31,Concentrated
10,97,19,42,Concentrated
99,83,16,66,Fear
89,60,5,51.33333333,Happy
49,66,10,41.66666667,Concentrated
83,21,1,35,Concentrated
60,12,6,26,Relaxed
99,76,6,60.33333333,Fear
10,85,11,35.33333333,Concentrated
46,67,5,39.33333333,Concentrated
44,43,1,29.33333333,Concentrated
96,71,5,57.33333333,Fear
39,81,9,43,Happy
19,64,10,31,Concentrated
34,4,9,15.66666667,Relaxed
30,46,15,30.33333333,Concentrated
53,69,5,42.33333333,Drunker
17,54,18,29.66666667,Concentrated
94,28,18,46.66666667,Happy
24,82,13,39.66666667,Concentrated
99,69,13,60.33333333,Fear
64,23,14,33.66666667,Concentrated
13,40,5,19.33333333,Relaxed
94,27,17,46,Happy
76,44,2,40.66666667,Concentrated
5,22,16,14.33333333,Drunker
82,22,10,38,Concentrated
23,66,6,31.66666667,Concentrated
5,11,19,11.66666667,Sad
22,62,7,30.33333333,Concentrated
32,100,15,49,Happy
61,51,13,41.66666667,Concentrated
81,18,14,37.66666667,Concentrated
43,74,7,41.33333333,Concentrated
54,69,15,46,Happy
91,78,21,63.33333333,Fear
47,37,11,31.66666667,Concentrated
1,64,20,28.33333333,Drunker
31,6,4,13.66666667,Sad
73,24,2,33,Concentrated
40,83,8,43.66666667,Happy
13,40,20,24.33333333,Relaxed
16,90,3,36.33333333,Concentrated
35,94,17,48.66666667,Happy
39,71,4,38,Concentrated
17,91,4,37.33333333,Concentrated
63,5,16,28,Relaxed
11,17,2,10,Sad
48,86,15,49.66666667,Happy
77,9,16,34,Concentrated
12,79,19,36.66666667,Concentrated
94,38,6,46,Happy
18,65,4,29,Concentrated
34,41,11,28.66666667,Drunker
49,70,8,42.33333333,Drunker
26,48,11,28.33333333,Drunker
100,95,16,70.33333333,Drunker
29,53,10,30.66666667,Concentrated
75,59,13,49,Happy
24,20,10,18,Relaxed
25,98,13,45.33333333,Happy
87,83,15,61.66666667,Fear
53,23,2,26,Relaxed
84,48,20,50.66666667,Happy
75,61,7,47.66666667,Happy
86,86,10,60.66666667,Fear
4,78,9,30.33333333,Concentrated
37,87,12,45.33333333,Happy
96,18,5,39.66666667,Concentrated
70,63,14,49,Happy
49,91,16,52,Happy
45,28,18,30.33333333,Concentrated
67,58,9,44.66666667,Happy
85,52,21,52.66666667,Happy
35,98,10,47.66666667,Happy
14,40,15,23,Relaxed
87,55,21,54.33333333,Happy
85,13,15,37.66666667,Concentrated
65,51,6,40.66666667,Concentrated
57,54,2,37.66666667,Concentrated
19,71,3,31,Concentrated
7,35,1,14.33333333,Drunker
95,70,2,55.66666667,Happy
100,36,11,49,Happy
85,95,10,63.33333333,Fear
23,31,9,21,Relaxed
61,74,10,48.33333333,Happy
80,3,7,30,Concentrated
67,38,20,41.66666667,Concentrated
83,73,1,52.33333333,Happy
37,10,17,21.33333333,Relaxed
72,3,3,26,Relaxed
71,12,13,32,Concentrated
78,22,14,38,Concentrated
53,51,8,37.33333333,Concentrated
45,44,7,32,Concentrated
35,57,17,36.33333333,Concentrated
63,82,17,54,Happy
79,68,17,54.66666667,Happy
99,56,9,54.66666667,Happy
35,6,15,18.66666667,Relaxed
81,45,4,43.33333333,Happy
18,50,14,27.33333333,Relaxed
67,69,8,48,Happy
80,51,10,47,Happy
19,4,19,14,Sad
68,40,5,37.66666667,Concentrated
27,37,13,25.66666667,Relaxed
15,90,15,40,Concentrated
15,52,10,25.66666667,Relaxed
97,28,5,43.33333333,Happy
51,33,18,34,Concentrated
70,3,14,29,Concentrated
100,83,1,61.33333333,Fear
30,72,13,38.33333333,Concentrated
84,68,19,57,Fear
100,41,5,48.66666667,Happy
76,78,16,56.66666667,Drunker
23,33,10,22,Relaxed
86,19,17,40.66666667,Concentrated
36,43,12,30.33333333,Concentrated
86,50,18,51.33333333,Happy
11,4,13,9.333333333,Sad
36,11,8,18.33333333,Relaxed
99,92,1,64,Fear
11,50,6,22.33333333,Relaxed
33,17,18,22.66666667,Relaxed
64,57,18,46.33333333,Happy
30,62,8,33.33333333,Concentrated
51,89,1,47,Happy
43,67,11,40.33333333,Concentrated
30,14,6,16.66666667,Relaxed
31,26,21,26,Relaxed
49,69,5,41,Concentrated
69,65,15,49.66666667,Happy
91,76,9,58.66666667,Fear
2,98,8,36,Concentrated
57,63,1,40.33333333,Concentrated
51,53,2,35.33333333,Concentrated
11,31,19,20.33333333,Relaxed
98,69,19,62,Fear
82,28,14,41.33333333,Concentrated
23,63,17,34.33333333,Concentrated
37,62,13,37.33333333,Concentrated
21,40,5,22,Relaxed
70,10,8,29.33333333,Concentrated
83,29,10,40.66666667,Concentrated
50,36,10,32,Concentrated
91,73,5,56.33333333,Drunker
99,100,12,70.33333333,Drunker
61,6,21,29.33333333,Concentrated
45,51,15,37,Concentrated
44,88,13,48.33333333,Happy
31,73,21,41.66666667,Concentrated
68,20,3,30.33333333,Concentrated
99,47,4,50,Happy
96,6,16,39.33333333,Concentrated
48,61,21,43.33333333,Happy
65,94,16,58.33333333,Fear
26,66,15,35.66666667,Concentrated
97,12,10,39.66666667,Concentrated
16,82,18,38.66666667,Concentrated
54,14,6,24.66666667,Relaxed
12,43,16,23.66666667,Relaxed
87,82,9,59.33333333,Fear
94,13,2,36.33333333,Concentrated
69,52,20,47,Happy
19,88,9,38.66666667,Concentrated
6,2,18,8.666666667,Sad
87,47,17,50.33333333,Happy
21,38,11,23.33333333,Relaxed
92,4,4,33.33333333,Concentrated
63,21,5,29.66666667,Concentrated
71,67,20,52.66666667,Happy
50,20,15,28.33333333,Drunker
85,24,12,40.33333333,Concentrated
23,50,18,30.33333333,Concentrated
29,51,2,27.33333333,Relaxed
63,83,1,49,Happy
58,43,9,36.66666667,Concentrated
2,3,18,7.666666667,Sad
3,61,14,26,Relaxed
82,23,5,36.66666667,Concentrated
57,48,14,39.66666667,Concentrated
23,95,16,44.66666667,Happy
28,86,12,42,Concentrated
98,54,9,53.66666667,Happy
25,19,12,18.66666667,Relaxed
99,59,16,58,Fear
67,93,11,57,Fear
29,52,5,28.66666667,Drunker
73,68,6,49,Happy
94,2,18,38,Concentrated
84,82,18,61.33333333,Fear
32,99,20,50.33333333,Happy
47,12,3,20.66666667,Relaxed
64,100,10,58,Fear
3,86,18,35.66666667,Concentrated
29,60,11,33.33333333,Concentrated
23,13,6,14,Sad
54,20,7,27,Relaxed
41,14,9,21.33333333,Relaxed
81,54,7,47.33333333,Happy
42,73,8,41,Concentrated
60,6,14,26.66666667,Relaxed
4,65,1,23.33333333,Relaxed
81,16,19,38.66666667,Concentrated
14,40,15,23,Relaxed
92,35,20,49,Happy
86,23,13,40.66666667,Concentrated
82,22,6,36.66666667,Concentrated
10,57,5,24,Relaxed
32,69,18,39.66666667,Concentrated
97,16,12,41.66666667,Concentrated
45,84,11,46.66666667,Happy
43,86,11,46.66666667,Happy
10,6,2,6,Sad
31,70,19,40,Concentrated
37,96,8,47,Happy
48,71,17,45.33333333,Happy
92,19,10,40.33333333,Concentrated
85,86,3,58,Fear
91,27,21,46.33333333,Happy
70,92,10,57.33333333,Fear
29,3,5,12.33333333,Sad
57,15,1,24.33333333,Relaxed
72,22,3,32.33333333,Concentrated
8,88,10,35.33333333,Concentrated
45,69,9,41,Concentrated
85,98,20,67.66666667,Fear
46,59,10,38.33333333,Concentrated
42,81,4,42.33333333,Drunker
61,94,11,55.33333333,Happy
89,7,5,33.66666667,Concentrated
3,61,13,25.66666667,Relaxed
69,6,5,26.66666667,Relaxed
85,49,12,48.66666667,Happy
21,45,16,27.33333333,Relaxed
36,21,9,22,Relaxed
67,25,10,34,Concentrated
40,24,13,25.66666667,Relaxed
68,6,20,31.33333333,Concentrated
14,74,16,34.66666667,Concentrated
25,84,9,39.33333333,Concentrated
73,40,12,41.66666667,Concentrated
74,35,13,40.66666667,Concentrated
16,54,9,26.33333333,Relaxed
52,56,6,38,Concentrated
10,9,14,11,Sad
35,63,20,39.33333333,Concentrated
79,71,2,50.66666667,Happy
36,96,11,47.66666667,Happy
38,76,4,39.33333333,Concentrated
91,53,13,52.33333333,Happy
20,85,14,39.66666667,Concentrated
98,31,2,43.66666667,Happy
61,8,12,27,Relaxed
75,74,3,50.66666667,Happy
70,85,8,54.33333333,Happy
92,69,14,58.33333333,Fear
22,97,1,40,Concentrated
37,25,12,24.66666667,Relaxed
29,85,5,39.66666667,Concentrated
32,42,20,31.33333333,Concentrated
76,95,18,63,Fear
83,46,19,49.33333333,Happy
72,94,9,58.33333333,Fear
20,9,1,10,Sad
7,70,11,29.33333333,Concentrated
34,80,16,43.33333333,Happy
70,96,11,59,Fear
95,43,18,52,Happy
54,90,17,53.66666667,Happy
17,92,3,37.33333333,Concentrated
55,54,14,41,Concentrated
33,25,13,23.66666667,Relaxed
82,55,11,49.33333333,Happy
20,60,7,29,Concentrated
71,33,5,36.33333333,Concentrated
1,66,1,22.66666667,Relaxed
47,57,12,38.66666667,Concentrated
64,52,9,41.66666667,Concentrated
88,77,3,56,Happy
86,28,12,42,Concentrated
81,36,3,40,Concentrated
37,100,7,48,Happy
24,35,4,21,Relaxed
60,43,1,34.66666667,Concentrated
39,94,14,49,Happy
6,97,10,37.66666667,Concentrated
55,76,2,44.33333333,Happy
67,7,14,29.33333333,Concentrated
74,93,11,59.33333333,Fear
65,47,12,41.33333333,Concentrated
86,10,9,35,Concentrated
11,82,2,31.66666667,Concentrated
65,66,11,47.33333333,Happy
91,41,19,50.33333333,Happy
17,71,1,29.66666667,Concentrated
6,66,5,25.66666667,Relaxed
100,10,11,40.33333333,Concentrated
95,92,19,68.66666667,Fear
55,54,21,43.33333333,Happy
54,5,10,23,Relaxed
15,41,4,20,Relaxed
37,95,8,46.66666667,Happy
26,12,8,15.33333333,Relaxed
7,45,8,20,Relaxed
27,28,7,20.66666667,Relaxed
64,71,11,48.66666667,Happy
62,24,13,33,Concentrated
47,21,7,25,Relaxed
71,66,1,46,Happy
61,12,15,29.33333333,Concentrated
65,54,1,40,Concentrated
68,100,3,57,Fear
5,10,1,5.333333333,Drunker
49,91,6,48.66666667,Happy
89,54,15,52.66666667,Happy
100,23,14,45.66666667,Happy
44,7,14,21.66666667,Relaxed
3,47,20,23.33333333,Relaxed
79,96,17,64,Fear
23,45,18,28.66666667,Drunker
53,40,19,37.33333333,Concentrated
45,78,1,41.33333333,Concentrated
89,54,7,50,Happy
98,28,6,44,Happy
46,93,11,50,Happy
45,72,5,40.66666667,Concentrated
20,52,10,27.33333333,Relaxed
37,39,14,30,Concentrated
53,66,20,46.33333333,Happy
60,88,14,54,Happy
67,52,17,45.33333333,Happy
40,43,4,29,Concentrated
45,99,10,51.33333333,Happy
28,82,12,40.66666667,Concentrated
75,51,20,48.66666667,Happy
98,7,21,42,Concentrated
72,5,6,27.66666667,Relaxed
38,78,21,45.66666667,Happy
71,52,5,42.66666667,Drunker
18,44,21,27.66666667,Relaxed
38,1,18,19,Relaxed
98,73,7,59.33333333,Fear
42,44,15,33.66666667,Concentrated
9,26,15,16.66666667,Relaxed
8,56,13,25.66666667,Relaxed
46,22,10,26,Relaxed
86,72,7,55,Happy
24,96,6,42,Concentrated
11,16,13,13.33333333,Sad
3,9,17,9.666666667,Sad
71,6,18,31.66666667,Concentrated
60,60,1,40.33333333,Concentrated
24,40,21,28.33333333,Drunker
38,63,1,34,Concentrated
88,93,18,66.33333333,Fear
39,82,19,46.66666667,Happy
71,84,16,57,Fear
20,40,15,25,Relaxed
57,31,10,32.66666667,Concentrated
79,89,13,60.33333333,Fear
73,99,17,63,Fear
40,75,18,44.33333333,Happy
80,57,13,50,Happy
10,22,4,12,Sad
1,15,8,8,Sad
65,34,3,34,Concentrated
81,17,4,34,Concentrated
51,24,21,32,Concentrated
13,81,13,35.66666667,Concentrated
23,39,2,21.33333333,Relaxed
61,17,19,32.33333333,Concentrated
26,96,15,45.66666667,Happy
73,44,13,43.33333333,Happy
8,87,21,38.66666667,Concentrated
29,84,11,41.33333333,Concentrated
91,40,5,45.33333333,Happy
2,17,11,10,Sad
66,76,18,53.33333333,Happy
1,81,10,30.66666667,Concentrated
99,45,8,50.66666667,Happy
93,22,20,45,Happy
45,74,3,40.66666667,Concentrated
7,13,18,12.66666667,Sad
71,94,6,57,Fear
81,77,12,56.66666667,Drunker
75,60,7,47.33333333,Happy
90,69,12,57,Fear
98,67,7,57.33333333,Fear
91,38,21,50,Happy
1,66,13,26.66666667,Relaxed
49,62,21,44,Happy
46,29,14,29.66666667,Concentrated
37,11,15,21,Relaxed
67,13,14,31.33333333,Concentrated
78,52,21,50.33333333,Happy
17,91,12,40,Concentrated
29,59,2,30,Concentrated
77,5,21,34.33333333,Concentrated
97,38,19,51.33333333,Happy
51,81,7,46.33333333,Happy
9,89,8,35.33333333,Concentrated
95,70,3,56,Happy
89,97,13,66.33333333,Fear
21,96,19,45.33333333,Happy
50,49,5,34.66666667,Concentrated
35,45,18,32.66666667,Concentrated
74,33,7,38,Concentrated
81,7,20,36,Concentrated
75,89,16,60,Fear
39,7,8,18,Relaxed
57,77,6,46.66666667,Happy
88,53,9,50,Happy
93,16,15,41.33333333,Concentrated
72,56,2,43.33333333,Happy
40,59,13,37.33333333,Concentrated
35,82,8,41.66666667,Concentrated
84,60,13,52.33333333,Happy
31,53,11,31.66666667,Concentrated
17,2,21,13.33333333,Sad
31,20,11,20.66666667,Relaxed
16,3,19,12.66666667,Sad
94,100,3,65.66666667,Fear
65,72,3,46.66666667,Happy
93,98,10,67,Fear
21,25,12,19.33333333,Relaxed
62,3,15,26.66666667,Relaxed
11,15,9,11.66666667,Sad
94,33,3,43.33333333,Happy
88,55,21,54.66666667,Happy
91,23,14,42.66666667,Drunker
76,89,15,60,Fear
81,76,2,53,Happy
24,12,20,18.66666667,Relaxed
5,96,16,39,Concentrated
98,89,10,65.66666667,Fear
50,72,19,47,Happy
10,80,4,31.33333333,Concentrated
65,68,16,49.66666667,Happy
9,93,2,34.66666667,Concentrated
41,90,1,44,Happy
13,89,7,36.33333333,Concentrated
79,10,19,36,Concentrated
1,13,6,6.666666667,Sad
93,55,9,52.33333333,Happy
92,38,18,49.33333333,Happy
29,5,3,12.33333333,Sad
58,41,17,38.66666667,Concentrated
74,79,17,56.66666667,Drunker
14,35,15,21.33333333,Relaxed
46,57,17,40,Concentrated
21,21,6,16,Relaxed
52,50,13,38.33333333,Concentrated
37,38,18,31,Concentrated
37,75,9,40.33333333,Concentrated
87,82,5,58,Fear
70,77,20,55.66666667,Happy
87,81,9,59,Fear
48,63,3,38,Concentrated
96,30,3,43,Happy
58,40,14,37.33333333,Concentrated
85,22,5,37.33333333,Concentrated
34,77,15,42,Concentrated
62,24,2,29.33333333,Concentrated
5,38,4,15.66666667,Relaxed
78,6,19,34.33333333,Concentrated
71,67,16,51.33333333,Happy
1,12,1,4.666666667,Drunker
40,73,6,39.66666667,Concentrated
70,16,9,31.66666667,Concentrated
75,24,12,37,Concentrated
31,98,9,46,Happy
21,34,13,22.66666667,Relaxed
11,49,1,20.33333333,Relaxed
82,87,21,63.33333333,Fear
56,85,3,48,Happy
66,41,7,38,Concentrated
58,36,11,35,Concentrated
63,36,14,37.66666667,Concentrated
87,8,7,34,Concentrated
91,21,6,39.33333333,Concentrated
47,37,10,31.33333333,Concentrated
73,78,21,57.33333333,Fear
76,91,16,61,Fear
89,33,19,47,Happy
26,33,8,22.33333333,Relaxed
59,62,7,42.66666667,Drunker
60,20,10,30,Concentrated
51,75,5,43.66666667,Happy
43,28,1,24,Relaxed
87,55,21,54.33333333,Happy
42,15,7,21.33333333,Relaxed
24,33,3,20,Relaxed
42,81,2,41.66666667,Concentrated
49,37,10,32,Concentrated
4,36,5,15,Relaxed
88,88,10,62,Fear
16,24,15,18.33333333,Relaxed
77,34,5,38.66666667,Concentrated
25,56,5,28.66666667,Drunker
45,79,12,45.33333333,Happy
73,30,15,39.33333333,Concentrated
53,37,16,35.33333333,Concentrated
14,86,14,38,Concentrated
13,25,7,15,Relaxed
52,69,3,41.33333333,Concentrated
48,27,4,26.33333333,Relaxed
68,54,7,43,Happy
99,88,7,64.66666667,Fear
91,58,16,55,Happy
18,31,3,17.33333333,Relaxed
42,10,6,19.33333333,Relaxed
46,34,2,27.33333333,Relaxed
39,64,19,40.66666667,Concentrated
54,16,14,28,Relaxed
34,75,7,38.66666667,Concentrated
56,39,14,36.33333333,Concentrated
37,5,5,15.66666667,Relaxed
18,23,13,18,Relaxed
19,3,1,7.666666667,Sad
18,55,2,25,Relaxed
75,23,1,33,Concentrated
65,1,8,24.66666667,Relaxed
92,69,1,54,Happy
89,77,19,61.66666667,Fear
73,86,2,53.66666667,Happy
93,54,5,50.66666667,Happy
49,20,21,30,Concentrated
15,27,18,20,Relaxed
19,90,11,40,Concentrated
31,39,15,28.33333333,Drunker
64,82,12,52.66666667,Happy
32,3,12,15.66666667,Relaxed
67,41,6,38,Concentrated
57,44,19,40,Concentrated
53,80,13,48.66666667,Happy
54,98,17,56.33333333,Drunker
48,54,5,35.66666667,Concentrated
64,46,1,37,Concentrated
4,80,10,31.33333333,Concentrated
99,52,11,54,Happy
92,61,21,58,Fear
92,97,19,69.33333333,Fear
57,88,7,50.66666667,Happy
72,83,20,58.33333333,Fear
36,44,14,31.33333333,Concentrated
16,27,10,17.66666667,Relaxed
15,92,17,41.33333333,Concentrated
64,48,6,39.33333333,Concentrated
83,44,18,48.33333333,Happy
32,14,10,18.66666667,Relaxed
62,51,10,41,Concentrated
2,92,6,33.33333333,Concentrated
24,46,4,24.66666667,Relaxed
56,78,19,51,Happy
49,5,8,20.66666667,Relaxed
40,82,12,44.66666667,Happy
15,17,5,12.33333333,Sad
13,23,4,13.33333333,Sad
31,9,4,14.66666667,Drunker
66,43,7,38.66666667,Concentrated
86,63,8,52.33333333,Happy
97,98,12,69,Fear
77,89,14,60,Fear
98,70,13,60.33333333,Fear
91,89,14,64.66666667,Fear
13,56,13,27.33333333,Relaxed
86,64,11,53.66666667,Happy
59,4,11,24.66666667,Relaxed
59,7,6,24,Relaxed
73,59,1,44.33333333,Happy
65,7,19,30.33333333,Concentrated
33,58,2,31,Concentrated
59,84,20,54.33333333,Happy
99,27,4,43.33333333,Happy
19,54,15,29.33333333,Concentrated
47,95,5,49,Happy
64,3,8,25,Relaxed
44,57,12,37.66666667,Concentrated
22,68,19,36.33333333,Concentrated
25,22,20,22.33333333,Relaxed
24,29,10,21,Relaxed
16,64,3,27.66666667,Relaxed
17,7,10,11.33333333,Sad
44,73,14,43.66666667,Happy
6,89,14,36.33333333,Concentrated
23,46,15,28,Relaxed
42,88,14,48,Happy
